Date,Time,Flux,Error
19/11/04,23:54:28,5170.918367,81.213048
19/11/05,0:04:28,5289.540816,82.139292
19/11/05,0:14:28,4950.255102,79.461317
19/11/05,0:24:28,5057.397959,80.31664
19/11/05,0:34:28,5128.826531,80.881831
19/11/05,0:44:28,5213.010204,81.542919
19/11/05,0:54:28,5051.020408,80.265983
19/11/05,1:04:28,5107.142857,80.710674
19/11/05,1:14:28,5145.408163,81.012472
19/11/05,1:24:28,5243.622449,81.78199
19/11/05,1:34:28,5022.959184,80.042712
19/11/05,1:44:28,5053.571429,80.28625
19/11/05,1:54:28,5081.632653,80.508846
19/11/05,2:04:28,5067.602041,80.397625
19/11/05,2:14:28,5108.418367,80.720752
19/11/05,2:24:28,5007.653061,79.920664
19/11/05,2:34:28,5113.520408,80.761052
19/11/05,2:44:28,5246.173469,81.801881
19/11/05,2:54:28,5126.27551,80.861714
19/11/05,3:04:28,5244.897959,81.791936
19/11/05,3:14:28,5184.94898,81.323154
19/11/05,3:24:28,5090.561224,80.579543
19/11/05,3:34:28,5103.316327,80.680432
19/11/05,3:44:28,5102.040816,80.670348
19/11/05,3:54:28,5264.030612,81.940983
19/11/05,4:04:28,5156.887755,81.102793
19/11/05,4:14:28,5168.367347,81.193013
19/11/05,4:24:28,5127.55102,80.871773
19/11/05,4:34:28,5102.040816,80.670348
19/11/05,4:44:28,5221.938776,81.612721
19/11/05,4:54:28,5141.581633,80.982343
19/11/05,5:04:28,4864.795918,78.772437
19/11/05,5:14:28,5068.877551,80.407742
19/11/05,5:24:28,5054.846939,80.296381
19/11/05,5:34:28,5142.857143,80.992387
19/11/05,5:44:28,5096.938776,80.630003
19/11/05,5:54:28,5177.295918,81.263114
19/11/05,6:04:28,5238.520408,81.742194
19/11/05,6:14:28,5192.602041,81.383149
19/11/05,6:24:28,5220.663265,81.602753
19/11/05,6:34:28,5155.612245,81.092762
19/11/05,6:44:28,5084.183673,80.529052
19/11/05,6:54:28,5204.081633,81.473058
19/11/05,7:04:28,5044.642857,80.215294
19/11/05,7:14:28,5233.418367,81.702378
19/11/05,7:24:28,5230.867347,81.682462
19/11/05,7:34:28,5197.704082,81.423121
19/11/05,7:44:28,5010.204082,79.941018
19/11/05,7:54:28,5047.193878,80.235574
19/11/05,8:04:28,5079.081633,80.488636
19/11/05,8:14:28,5172.193878,81.223064
19/11/05,8:24:28,5130.102041,80.891888
19/11/05,8:34:28,4910.714286,79.143327
19/11/05,8:44:28,5048.469388,80.245712
19/11/05,8:54:28,5026.785714,80.073194
19/11/05,9:04:28,5184.94898,81.323154
19/11/05,9:14:28,5100.765306,80.660264
19/11/05,9:24:28,5110.969388,80.740904
19/11/05,9:34:28,5089.285714,80.569447
19/11/05,9:44:28,5051.020408,80.265983
19/11/05,9:54:28,5019.132653,80.012217
19/11/05,10:04:28,5309.94898,82.297595
19/11/05,10:14:28,5043.367347,80.205153
19/11/05,10:24:28,5049.744898,80.255848
19/11/05,10:34:28,4964.285714,79.573847
19/11/05,10:44:28,5130.102041,80.891888
19/11/05,10:54:28,5035.714286,80.144276
19/11/05,11:04:28,5114.795918,80.771123
19/11/05,11:14:28,5038.265306,80.164573
19/11/05,11:24:28,5223.214286,81.622688
19/11/05,11:34:28,5103.316327,80.680432
19/11/05,11:44:28,5056.122449,80.306511
19/11/05,11:54:28,5005.102041,79.900305
19/11/05,12:04:28,4974.489796,79.655587
19/11/05,12:14:28,5098.214286,80.640091
19/11/05,12:24:28,5006.377551,79.910485
19/11/05,12:34:28,5179.846939,81.283132
19/11/05,12:44:28,5136.479592,80.942153
19/11/05,12:54:28,5109.693878,80.730829
19/11/05,13:04:28,5205.357143,81.483042
19/11/05,13:14:28,5017.857143,80.00205
19/11/05,13:24:28,5176.020408,81.253104
19/11/05,13:34:28,5119.897959,80.811398
19/11/05,13:44:28,5058.673469,80.326768
19/11/05,13:54:28,5141.581633,80.982343
19/11/05,14:04:28,5191.326531,81.373153
19/11/05,14:14:28,5293.367347,82.168997
19/11/05,14:24:28,5209.183673,81.512986
19/11/05,14:34:28,5151.785714,81.062662
19/11/05,14:44:28,5304.846939,82.258048
19/11/05,14:54:28,5239.795918,81.752145
19/11/05,15:04:28,5154.336735,81.08273
19/11/05,15:14:28,5128.826531,80.881831
19/11/05,15:24:28,5172.193878,81.223064
19/11/05,15:34:28,5173.469388,81.233078
19/11/05,15:44:28,5156.887755,81.102793
19/11/05,15:54:28,5067.602041,80.397625
19/11/05,16:04:28,5336.734694,82.504906
19/11/05,16:14:28,5238.520408,81.742194
19/11/05,16:24:28,5156.887755,81.102793
19/11/05,16:34:28,5030.612245,80.103666
19/11/05,16:44:28,5206.632653,81.493025
19/11/05,16:54:28,5081.632653,80.508846
19/11/05,17:04:28,5114.795918,80.771123
19/11/05,17:14:28,5076.530612,80.46842
19/11/05,17:24:28,5117.346939,80.791263
19/11/05,17:34:28,5063.77551,80.367265
19/11/05,17:44:28,5295.918367,82.188794
19/11/05,17:54:28,5192.602041,81.383149
19/11/05,18:04:28,5136.479592,80.942153
19/11/05,18:14:28,4961.734694,79.553399
19/11/05,18:24:28,5131.377551,80.901943
19/11/05,18:34:28,5091.836735,80.589638
19/11/05,18:44:28,5151.785714,81.062662
19/11/05,18:54:28,5123.72449,80.841591
19/11/05,19:04:28,5178.571429,81.273124
19/11/05,19:14:28,5086.734694,80.549252
19/11/05,19:24:28,5253.826531,81.861525
19/11/05,19:34:28,5054.846939,80.296381
19/11/05,19:44:28,5320.153061,82.376632
19/11/05,19:54:28,5021.683673,80.032548
19/11/05,20:04:28,5108.418367,80.720752
19/11/05,20:14:28,5039.540816,80.17472
19/11/05,20:24:28,5137.755102,80.952202
19/11/05,20:34:28,5303.571429,82.248158
19/11/05,20:44:28,5218.112245,81.582813
19/11/05,20:54:28,5183.673469,81.31315
19/11/05,21:04:28,5267.857143,81.97076
19/11/05,21:14:28,5056.122449,80.306511
19/11/05,21:24:28,2008.928571,50.620242
19/11/05,21:34:28,5073.979592,80.448199
19/11/05,21:44:28,5220.663265,81.602753
19/11/05,22:04:28,4983.418367,79.72704
19/11/05,22:14:28,5085.459184,80.539152
19/11/05,22:24:28,5054.846939,80.296381
19/11/05,22:34:28,5131.377551,80.901943
19/11/05,22:44:28,5034.438776,80.134125
19/11/05,22:54:28,5140.306122,80.972297
19/11/05,23:04:28,5030.612245,80.103666
19/11/05,23:14:28,5026.785714,80.073194
19/11/05,23:24:28,5065.05102,80.377387
19/11/05,23:34:28,5079.081633,80.488636
19/11/05,23:44:28,4979.591837,79.696425
19/11/05,23:54:28,4985.969388,79.747444
19/11/06,0:04:28,4994.897959,79.818816
19/11/06,0:14:28,5047.193878,80.235574
19/11/06,0:24:28,4969.387755,79.614727
19/11/06,0:34:28,5057.397959,80.31664
19/11/06,0:44:28,5140.306122,80.972297
19/11/06,0:54:28,5125,80.851653
19/11/06,1:04:28,5110.969388,80.740904
19/11/06,1:14:28,4996.173469,79.829006
19/11/06,1:24:28,5102.040816,80.670348
19/11/06,1:34:28,5110.969388,80.740904
19/11/06,1:44:28,5158.163265,81.112822
19/11/06,1:54:28,5201.530612,81.453087
19/11/06,2:04:28,5024.234694,80.052874
19/11/06,2:14:28,5075.255102,80.45831
19/11/06,2:24:28,4994.897959,79.818816
19/11/06,2:34:28,5103.316327,80.680432
19/11/06,2:44:28,5026.785714,80.073194
19/11/06,2:54:28,5043.367347,80.205153
19/11/06,3:04:28,5093.112245,80.599731
19/11/06,3:14:28,4964.285714,79.573847
19/11/06,3:24:28,5082.908163,80.51895
19/11/06,3:34:28,5000,79.859571
19/11/06,3:44:28,4948.979592,79.451079
19/11/06,3:54:28,4989.795918,79.77804
19/11/06,4:04:28,5047.193878,80.235574
19/11/06,4:14:28,5230.867347,81.682462
19/11/06,4:24:28,5197.704082,81.423121
19/11/06,4:34:28,5112.244898,80.750979
19/11/06,4:44:28,4931.122449,79.30761
19/11/06,4:54:28,5061.22449,80.347019
19/11/06,5:04:28,5248.72449,81.821768
19/11/06,5:14:28,5019.132653,80.012217
19/11/06,5:24:28,5094.387755,80.609823
19/11/06,5:34:28,4956.632653,79.512487
19/11/06,5:44:28,5062.5,80.357143
19/11/06,5:54:28,5073.979592,80.448199
19/11/06,6:04:28,5062.5,80.357143
19/11/06,6:14:28,5108.418367,80.720752
19/11/06,6:24:28,5109.693878,80.730829
19/11/06,6:34:28,5053.571429,80.28625
19/11/06,6:44:28,5003.826531,79.890123
19/11/06,6:54:28,5076.530612,80.46842
19/11/06,7:04:28,5077.806122,80.478528
19/11/06,7:14:28,4968.112245,79.604509
19/11/06,7:24:28,5039.540816,80.17472
19/11/06,7:34:28,5025.510204,80.063035
19/11/06,7:44:28,5131.377551,80.901943
19/11/06,7:54:28,5099.489796,80.650178
19/11/06,8:04:28,5038.265306,80.164573
19/11/06,8:14:28,5080.357143,80.498741
19/11/06,8:24:28,5065.05102,80.377387
19/11/06,8:34:28,5058.673469,80.326768
19/11/06,8:44:28,5219.387755,81.592784
19/11/06,8:54:28,4812.5,78.347896
19/11/06,9:04:28,5057.397959,80.31664
19/11/06,9:14:28,5172.193878,81.223064
19/11/06,9:24:28,5070.153061,80.417859
19/11/06,9:34:28,4941.326531,79.389624
19/11/06,9:44:28,5022.959184,80.042712
19/11/06,9:54:28,4980.867347,79.706632
19/11/06,10:04:28,5137.755102,80.952202
19/11/06,10:14:28,5043.367347,80.205153
19/11/06,10:24:28,5076.530612,80.46842
19/11/06,10:34:28,5066.326531,80.387506
19/11/06,10:44:28,5195.153061,81.403137
19/11/06,10:54:28,5105.867347,80.700594
19/11/06,11:04:28,5061.22449,80.347019
19/11/06,11:14:28,5082.908163,80.51895
19/11/06,11:24:28,5117.346939,80.791263
19/11/06,11:34:28,5179.846939,81.283132
19/11/06,11:44:28,5054.846939,80.296381
19/11/06,11:54:28,5299.744898,82.218481
19/11/06,12:04:28,5091.836735,80.589638
19/11/06,12:14:28,5206.632653,81.493025
19/11/06,12:24:28,4982.142857,79.716837
19/11/06,12:34:28,5059.94898,80.336894
19/11/06,12:44:28,5052.295918,80.276117
19/11/06,12:54:28,5114.795918,80.771123
19/11/06,13:04:28,5084.183673,80.529052
19/11/06,13:14:28,5176.020408,81.253104
19/11/06,13:24:28,5149.234694,81.04259
19/11/06,13:34:28,5081.632653,80.508846
